,Y4Z2,Y2Z4,Y4Z0,Y0Z4,Y5Z2,Y2Z5,Y5Z1,Y1Z5,Y5Z4,Y4Z5,Y1Z2,Y2Z1,Y3Z2,Y2Z3,Y4Z1,Y1Z4,Y5Z0,Y0Z5,Y4Z3,Y3Z4,Y3Z0,Y0Z3,Y0Z2,Y2Z0,Y1Z3,Y3Z1,Y0Z1,Y1Z0,Y3Z5,Y5Z3,standard_y,Y4,X2Y4,Y5,X5Y2,X0Y2,X1Y2,Y2,X4Y5,X4Y2,X3Y4,X3Y2,X2Y0,X1Y5,X5Y0,X3Y1,X5Y1,Y0,X4Y3,X4Y1,Y3,Y1,X5Y3,X2Y3,X0Y3,X3Y0,X2Y1,X0Y1,X1Y0,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y4,X1Y3,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9447007551242456,0.9447007551242455,0.9002136829331142,0.900213682933114,0.8818001335022669,0.8818001335022669,0.843072928913403,0.843072928913403,0.7552671863253031,0.7552671863253031,0.7202405708920231,0.720240570892023,0.5227993107629365,0.5227993107629365,0.5089270571644686,0.5089270571644684,0.4962524922514081,0.496252492251408,0.37096067220875817,0.37096067220875817,0.3031283371027854,0.3031283371027854,0.21361678946498827,0.21361678946498824,0.10023536775052821,0.10023536775052817,0.07742178385330412,0.07742178385330407,0.0007460977316615658,0.0007460977316615276,2.8449465006019636e-16,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.42861286636753e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.734723475976807e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0012443411866718836,0.0012443411866718836,0.001185743693336981,0.6865970787769088,0.1265336023578764,0.0011614897295020433,0.8430729289134032,0.8430729289134032,0.12653218223095988,0.0009948230291853214,0.2113139552127664,0.0009486866627466013,0.1518389603559938,0.0006886209323082812,0.0006703486737005694,0.21131288893161085,0.4962524922514082,0.49625249225140805,0.0004886220748327196,0.15183818503503216,0.3031283371027854,0.30312833710278553,0.6865961125486938,0.00028137181838172907,0.10023536775052821,0.10023536775052824,0.07742178385330409,0.07742178385330409,0.0007460977316615523,0.0007460977316615056,1.7330971727180788e-16,0.0,4.163336342344337e-17,1.1102230246251565e-16,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,1.6263032587282567e-19,1.0842021724855044e-19,1.3877787807814457e-17,5.421010862427522e-20,5.421010862427522e-20,6.776263578034403e-21,0.0,1.3877787807814457e-17,2.42861286636753e-17,0.0,4.85722573273506e-17,1.3552527156068805e-20,1.6940658945086007e-20,2.0816681711721685e-17,6.938893903907228e-18,2.0816681711721685e-17,1.3552527156068805e-20,1.3877787807814457e-17,4.163336342344337e-17,1.1180834903756764e-19,1.4792669417632807e-18,3.1044319999686643e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,2.0328790734103208e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00012048505799983589,0.0001204850579998359,0.00011481127458840374,0.6865968952054597,7.888216447285674e-06,2.0604951710440668e-05,5.255818006020227e-05,5.2558180060202257e-05,7.888215617263728e-06,3.141767878112983e-05,1.3173538777367065e-05,2.0604951313401983e-05,0.15183864157118127,6.667667506126036e-05,3.141767846782069e-05,1.3173538154157439e-05,3.0936977037905445e-05,0.4188307085485509,4.7311508818315804e-05,0.15183863430228003,0.3031283371027854,0.30312833710278553,0.6865968861467371,2.7244215831120898e-05,6.248793343919572e-06,0.09948927002031652,0.41883070743377976,4.826567093772717e-06,0.09948926982408804,4.651262966504482e-08,3.468324633298502e-17,1.3552527156068805e-20,0.0,0.0,4.1359030627651384e-25,3.3881317890172014e-21,4.652890945610781e-25,1.6940658945086007e-21,4.1359030627651384e-25,2.7755575615628914e-17,1.0164395367051604e-20,3.3881317890172014e-21,0.0,0.0,4.235164736271502e-22,0.0,2.7755575615628914e-17,0.0,5.082197683525802e-21,5.169878828456423e-26,3.469446951953614e-17,6.352747104407253e-22,4.235164736271502e-22,3.3881317890172014e-21,1.3877787807814457e-17,2.7755575615628914e-17,2.5849394142282115e-26,2.0980237448877232e-21,2.3055736872398438e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9.760203428241017e-10,2.7774501623032153e-06,9.300583943280164e-10,0.00018671853447543862,4.314448662543527e-06,6.137785120051665e-07,5.8405266845679255e-06,5.840526684567924e-06,4.3144486624864945e-06,2.545070235444053e-10,2.0002613484085605e-06,6.13778511859118e-07,0.45496696444843077,1.9861590228316736e-06,2.545070235130639e-10,2.00026134835098e-06,4.314448757197507e-06,0.00011390010180581384,3.832591013604652e-10,0.4549669644441685,0.4549669700385305,8.243509313854666e-05,0.0001867185344732527,2.7774499995806246e-06,6.943970325781525e-07,0.09948927001888457,0.0001139001018020702,2.000261314051952e-06,0.09948927001646134,5.168715020515161e-09,1.3877470041212266e-17,1.2924697071141057e-25,6.776263578034403e-21,4.235164736271502e-22,0.0,3.877409121342317e-26,2.4233807008389483e-27,2.117582368135751e-22,0.0,6.776263578034403e-21,5.169878828456423e-26,3.1763735522036263e-22,2.5849394142282115e-26,0.0,0.0,0.0,1.3877787807814457e-17,0.0,3.877409121342317e-26,4.930380657631324e-32,1.3877787807814457e-17,1.0587911840678754e-22,1.0587911840678754e-22,2.6469779601696886e-23,3.3881317890172014e-21,0.0,1.6155871338926322e-27,9.877532794700858e-28,1.0670807043621071e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9721522630525295e-31,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0
4,2.6458565710633146e-10,3.876474515746864e-06,1.4823135513169346e-10,3.458780203223182e-07,2.827985453594183e-06,4.994767670455685e-07,3.832873233319491e-06,3.832873233319491e-06,2.827985453569381e-06,6.899334481687984e-11,8.56986686515389e-07,4.994767669943836e-07,0.0025299479782772503,3.876464551872417e-06,6.899334481322073e-11,8.569866864881879e-07,2.827985460452785e-06,2.1098891889716507e-07,1.4822585068137244e-10,0.0025299479782615545,0.0025299479817137063,1.527030345432497e-07,3.458780203196367e-07,3.876474507684451e-06,8.569593412108663e-07,0.000553232853591291,2.109889188941785e-07,8.569866821204458e-07,0.0005532328535854881,2.827941632162066e-06,2.1637720689172266e-19,6.462348535570529e-27,3.3881317890172014e-21,4.235164736271502e-22,1.6155871338926322e-27,2.524354896707238e-29,8.077935669463161e-28,1.0587911840678754e-22,9.860761315262648e-32,3.3881317890172014e-21,1.0097419586828951e-28,1.6543612251060553e-24,5.048709793414476e-29,2.7755575615628914e-17,2.524354896707238e-29,2.0679515313825692e-25,2.7755575615628914e-17,1.3234889800848443e-23,6.310887241768094e-29,1.5407439555097887e-33,2.168404344971009e-19,7.940933880509066e-23,8.271806125530277e-25,2.0679515313825692e-25,0.0,0.0,4.0389678347315804e-28,1.0220037179616809e-29,2.221289023405725e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.860761315262648e-32,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0
5,8.930653754783591e-12,3.3970285157713955e-06,4.972436982581825e-12,9.542452787352222e-09,1.9886685631288998e-07,4.3089277531256323e-07,2.7041395350733133e-07,2.718490664530399e-07,1.9886685631153455e-07,2.309283702316107e-12,6.037025351212151e-08,4.3089277531234194e-07,5.984037553323562e-08,3.3970285155526357e-06,2.3092837023154907e-12,6.037025351063694e-08,1.988668563122555e-07,4.005567233845523e-09,4.972412929369817e-12,5.98403633021888e-08,5.984036843593201e-08,9.542276948352632e-09,9.542452787323013e-09,3.3970285157608237e-06,6.037025351017821e-08,1.305970040673488e-08,4.005567233845235e-09,6.03702535101793e-08,1.3059700406734191e-08,1.9886685631225378e-07,3.1598279204686484e-22,2.0194839173657902e-28,1.0587911840678754e-22,0.0,1.0097419586828951e-28,3.944304526105059e-31,5.048709793414476e-29,3.1763735522036263e-22,3.851859888774472e-34,1.0587911840678754e-22,0.0,2.0679515313825692e-25,7.888609052210118e-31,1.3877787807814457e-17,0.0,3.944304526105059e-31,1.3877787807814457e-17,0.0,0.0,7.222237291452134e-35,1.6543612251060553e-24,0.0,0.0,2.0679515313825692e-25,0.0,1.0587911840678754e-22,1.262177448353619e-29,7.828505434172802e-32,8.728854995214509e-32,4.988994209757137e-07,9.205077845682522e-19,3.108530207395791e-15,7.797210681346239e-17,1.6181683145616475e-13,2.4782388323116536e-07,3.853787223518613e-10,0.018789754781403413,7.900453465946503e-19,1.1164581362443377e-15,2.439029653772868e-13,3.694017129350024e-17,3.563749553752921e-10,3.384968376760515e-07,3.085582718785595e-16,1.9147773635719483e-16,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,9.62964972193618e-35,3.541640540069832e-08,1.0097419586828951e-28,5.048709793414476e-29,7.573064690121713e-29,1.0097419586828951e-28,0.0,0.0,9.565789699933116e-19,1.172637445015813e-12,2.0679515313825692e-25,4.1359030627651384e-25,5.169878828456423e-25,0.0,0.0,0.0,5.578417186176284e-15,3.20755432196157e-16,2.8548936616326937e-09,5.293955920339377e-23,2.6469779601696886e-23,2.6469779601696886e-23,5.293955920339377e-23,0.0,5.048709793414476e-29,2.504030196071928e-13,2.478238832314452e-07,3.8540179537709036e-10,4.353804343163054e-07,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.3703774026776627e-34,7.888609052210118e-31,0.018789754781406855,9.020784073182457e-19,4.254886138262366e-15,2.9011827488321526e-13,2.4127781607710924e-08,0.0,5.169878828456423e-26,5.169878828456423e-26,0.0,1.0339757656912846e-25,1.9721522630525295e-31,0.0,5.355557310195784e-16,3.56374955378424e-10,3.3849683772562156e-07,3.09106984651284e-16,6.092144736535005e-16,1.1187333519213629e-09
